PlotID,DSnm,Ps,Coords_y,Coords_x,Dmean,Dsd,Dcv,R,N,B,Yr
103_100504932010478_2006,103,0.03175784,32.089621,-90.8165,41.36428485,26.55981922,0.642095453,9,1818.138476,289.5839804,2006
103_100506401010478_2006,103,0.045353724,31.99702,-91.063419,40.16022222,26.22521812,0.653014766,7,891.3686043,225.5890906,2006
103_100511870010478_2006,103,0.039417344,32.022962,-88.695779,42.6556129,25.66111902,0.601588332,14,1413.932524,262.6384406,2006
103_100517361010478_2006,103,0.028041947,31.848671,-90.144438,42.65385714,30.88147685,0.724001976,9,1921.073248,290.1539721,2006
103_100546206010478_2006,103,0.042613683,31.326458,-91.343221,57.404,49.05131018,0.854492896,5,352.8228681,204.6714363,2006
103_100572455010478_2006,103,0.038478898,33.306102,-88.822266,40.386,31.62816556,0.783146773,12,1869.690164,356.4471549,2006
103_100587041010478_2006,103,0.038263415,31.679661,-90.72214,36.322,23.96777103,0.659869254,11,1795.925918,251.1027236,2006
103_155767527010854_1970,103,0.464096535,29.58,-81.5,96.21981818,51.22941876,0.532420656,3,622.2472497,252.5423293,1970
103_155767837010854_1970,103,0.209243829,29.97,-85.06,52.74813208,28.45030495,0.539361373,7,3260.324826,520.1819493,1970
103_155768022010854_1970,103,0.193326314,26.64,-81.17,50.84792453,21.85604104,0.429831527,3,1056.398735,247.8846474,1970
103_155768192010854_1970,103,0.298606031,28.11,-82.11,62.45726316,27.26577277,0.436550873,8,673.7921134,227.0896372,1970
103_156187659010854_1987,103,0.060087446,29.36,-81.44,33.474025,43.76688214,1.307487885,7,5018.12564,573.7353286,1987
103_156187953010854_1987,103,0.05228132,30.03,-84.53,35.65698182,24.4082165,0.684528394,9,2739.81143,266.2962872,1987
103_156188355010854_1987,103,0.135508224,30.42,-86,65.36987234,43.488579,0.66526945,3,3214.815221,1257.730786,1987
103_156188356010854_1987,103,0.059389888,30.42,-85.92,37.72122807,21.61660655,0.57306211,4,5142.597369,496.0491257,1987
