hexID,LAT,LON,N,K,R
46,-16.4980676457354,179.750011459155,2974,5,458
125,51.9177417943957,179.750011459156,67,2,48
140,64.9078899347229,179.750011459155,4,2,3
141,65.7738918947126,179.750011459156,10,1,10
142,66.6398923079334,179.750011459156,13,1,13
143,67.5058910070467,179.750011459156,14,1,13
144,68.3718877976442,179.750011459155,277,2,255
145,69.2378824525934,179.750011459155,1,1,1
147,70.969864238526,179.750011459155,561,3,270
208,-16.9310798793037,-179.999988540844,9881,4,1116
209,-16.0650553881667,-179.999988540844,21,2,18
303,65.3408910985325,-179.999988540844,1,1,1
304,66.2068923045519,-179.999988540844,32,1,30
305,67.0728918832092,-179.999988540845,13,2,13
306,67.9388896542629,-179.999988540845,16,1,15
307,68.804885407732,-179.999988540844,38,1,36
310,71.4028578709177,-179.999988540845,782,3,307
370,-16.4980676457355,-179.749988540844,1133,4,162
465,65.7738918947125,-179.749988540844,2,1,2
466,66.6398923079334,-179.749988540844,330,1,291
467,67.5058910070466,-179.749988540844,27,2,27
468,68.3718877976443,-179.749988540844,33,2,33
471,70.969864238526,-179.749988540844,1894,3,386
627,65.3408910985325,-179.499988540844,6,2,4
628,66.2068923045519,-179.499988540844,83,2,82
629,67.0728918832091,-179.499988540843,52,1,48
630,67.9388896542629,-179.499988540844,29,1,29
631,68.804885407732,-179.499988540844,175,2,116
634,71.4028578709178,-179.499988540843,485,3,203
790,66.6398923079335,-179.249988540844,230,3,156
791,67.5058910070467,-179.249988540844,71,1,63
792,68.3718877976443,-179.249988540844,25,1,25
795,70.969864238526,-179.249988540843,982,4,371
952,66.206892304552,-178.999988540844,256,3,202
953,67.0728918832091,-178.999988540844,163,2,117
954,67.9388896542629,-178.999988540844,78,2,68
955,68.804885407732,-178.999988540844,12,2,12
958,71.4028578709177,-178.999988540844,406,3,220
1113,65.7738918947126,-178.749988540844,33,2,27
1114,66.6398923079335,-178.749988540844,154,1,126
1115,67.5058910070467,-178.749988540844,792,2,377
1116,68.3718877976442,-178.749988540844,21,1,21
1119,70.969864238526,-178.749988540844,81,2,76
1275,65.3408910985324,-178.499988540845,1,1,1
1276,66.2068923045519,-178.499988540845,67,2,56
1277,67.0728918832092,-178.499988540845,191,1,149
1278,67.9388896542629,-178.499988540845,479,3,360
1282,71.4028578709177,-178.499988540845,61,2,52
1421,51.9177417943956,-178.249988540845,15,2,11
1437,65.7738918947126,-178.249988540845,93,2,85
1438,66.6398923079334,-178.249988540845,60,2,54
1439,67.5058910070467,-178.249988540845,109,1,93
1440,68.3718877976443,-178.249988540845,15,1,15
1443,70.969864238526,-178.249988540845,144,2,85
1507,-14.3330061306306,-177.999988540844,8504,4,950
1583,51.4847342868103,-177.999988540844,66,2,49
1599,65.3408910985324,-177.999988540844,2,1,2
1600,66.206892304552,-177.999988540844,79,1,72
1601,67.0728918832092,-177.999988540844,39,2,35
1602,67.9388896542628,-177.999988540844,305,1,275
1606,71.4028578709178,-177.999988540844,25,2,20
1745,51.9177417943958,-177.749988540844,581,4,251
1761,65.7738918947126,-177.749988540844,21,1,20
1762,66.6398923079334,-177.749988540844,21,1,21
1763,67.5058910070466,-177.749988540844,30,1,28
1764,68.3718877976442,-177.749988540844,4,1,4
1767,70.9698642385259,-177.749988540844,16,2,15
1880,28.1022061343238,-177.499988540845,32027,4,702
1907,51.4847342868103,-177.499988540844,9,1,8
1923,65.3408910985325,-177.499988540844,1,1,1
1924,66.2068923045519,-177.499988540845,10,1,10
1925,67.0728918832092,-177.499988540845,54,1,44
1926,67.9388896542629,-177.499988540844,234,2,209
1930,71.4028578709178,-177.499988540845,147,2,139
2069,51.9177417943956,-177.249988540844,291,2,85
2085,65.7738918947125,-177.249988540844,26,2,22
2086,66.6398923079334,-177.249988540843,16,1,16
2087,67.5058910070466,-177.249988540844,252,1,228
2088,68.3718877976443,-177.249988540844,12,1,12
2121,-43.7777624669083,-176.999988540844,822,5,262
2231,51.4847342868106,-176.999988540843,82,2,47
2248,66.206892304552,-176.999988540844,7,1,7
2249,67.0728918832092,-176.999988540843,19,1,19
2250,67.9388896542629,-176.999988540844,30,1,30
2282,-44.2107716932807,-176.749988540844,4721,4,549
2334,0.82243463802345,-176.749988540844,7,2,7
2393,51.9177417943955,-176.749988540845,83138,5,1578
2409,65.7738918947126,-176.749988540845,34,2,28
2410,66.6398923079334,-176.749988540845,18,1,18
2411,67.5058910070466,-176.749988540845,38,2,37
2445,-43.7777624669086,-176.499988540844,10826,6,1592
2555,51.4847342868105,-176.499988540845,159,4,77
2571,65.3408910985325,-176.499988540844,3,2,2
2572,66.206892304552,-176.499988540844,8,1,8
2573,67.0728918832092,-176.499988540844,13,1,12
2574,67.9388896542629,-176.499988540844,19,1,19
2606,-44.2107716932807,-176.249988540844,1722,6,567
2642,-13.0339689666411,-176.249988540844,646,3,191
2717,51.9177417943957,-176.249988540844,772,5,226
2733,65.7738918947126,-176.249988540844,27,2,27
2734,66.6398923079334,-176.249988540844,1,1,1
2735,67.5058910070466,-176.249988540844,41,1,40
2804,-13.4669813744035,-175.999988540844,2905,4,608
2880,52.3507491821943,-175.999988540844,20,1,4
2895,65.3408910985324,-175.999988540844,4,1,4
2896,66.2068923045519,-175.999988540844,16,1,16
2897,67.0728918832091,-175.999988540844,15,1,13
2898,67.9388896542629,-175.999988540844,246,2,228
3056,64.9078899347229,-175.749988540844,39,2,29
3057,65.7738918947126,-175.749988540844,393,2,299
3058,66.6398923079335,-175.749988540844,2,2,2
3059,67.5058910070466,-175.749988540844,43,2,40
3119,-21.2612007536299,-175.499988540844,2096,5,423
3219,65.3408910985325,-175.499988540844,44,2,42
3220,66.2068923045519,-175.499988540844,19,1,18
3221,67.0728918832091,-175.499988540844,27,1,25
3281,-20.8281887954679,-175.249988540844,340,1,94
3365,51.9177417943955,-175.249988540844,437,2,138
3380,64.9078899347229,-175.249988540844,864,2,303
3381,65.7738918947126,-175.249988540844,100,1,90
3382,66.6398923079334,-175.249988540845,3,1,3
3383,67.5058910070466,-175.249988540844,320,1,280
3443,-21.2612007536294,-174.999988540844,3092,4,798
3543,65.3408910985324,-174.999988540844,19,1,18
3544,66.2068923045518,-174.999988540845,9,1,9
3545,67.0728918832092,-174.999988540844,29,2,27
3689,51.9177417943957,-174.749988540844,214,4,85
3704,64.9078899347229,-174.749988540844,394,4,302
3705,65.7738918947126,-174.749988540844,13,1,13
3706,66.6398923079334,-174.749988540844,6,2,6
3707,67.5058910070466,-174.749988540844,7,1,7
3852,52.3507491821942,-174.499988540845,477,3,237
3866,64.4748884207133,-174.499988540845,7,2,6
3867,65.3408910985325,-174.499988540844,20,1,18
3868,66.2068923045519,-174.499988540844,13,1,13
3869,67.0728918832091,-174.499988540844,114,2,46
4013,51.9177417943955,-174.249988540844,157,3,69
4028,64.9078899347229,-174.249988540844,141,4,116
4029,65.7738918947126,-174.249988540845,20,2,19
4030,66.6398923079335,-174.249988540845,11,1,11
4094,-18.6631285607712,-173.999988540845,10243,4,1515
4176,52.3507491821941,-173.999988540844,826,5,317
4190,64.4748884207134,-173.999988540844,1162,3,395
4191,65.3408910985324,-173.999988540845,254,1,221
4192,66.2068923045519,-173.999988540844,9,1,9
4193,67.0728918832091,-173.999988540844,26,2,25
4337,51.9177417943955,-173.749988540844,194,3,106
4352,64.9078899347228,-173.749988540844,69,2,65
4353,65.7738918947126,-173.749988540844,418,3,332
4354,66.6398923079335,-173.749988540844,237,2,217
4500,52.3507491821943,-173.499988540844,599,4,179
4514,64.4748884207134,-173.499988540844,1014,4,358
4515,65.3408910985324,-173.499988540843,73,1,63
4516,66.206892304552,-173.499988540843,41,1,39
4517,67.0728918832092,-173.499988540844,185,4,94
4661,51.9177417943953,-173.249988540844,330,3,128
